Subtrate	Name_in_Model	Substrate_type	Growth_Biolog	Growth_Model
Tween 40		C	NG	NG
Glycogen	glycogen	C	NG	NG
M-Inositol	myo-inositol	C	NG	NG
Sucrose	sucrose	C	G	G
D-Saccharic Acid	D-Glucarate	C	NG	NG
Pectin	pectin	C	NG	NG
D-Glucose-1-Phosphate	D-glucose 1-phosphate	C	NG	NG
Hydroxy-L Proline		C	NG	NG
D-Ribono-1,4-Lactone		C	NG	NG
L-Pyroglutamic Acid	5-oxo-L-proline	C	NG	NG
Lactulose		C	NG	NG
D-Raffinose	raffinose	C	NG	G
Maltose	maltose	C	G	G
L-Rhamnose		C	NG	NG
D-Galactose	D-galactose	C	G	G
α-D-Lactose		C	NG	NG
N-Acetyl-D-Galactosamine		C	NG	NG
2,3-Butanediol		C	NG	NG
1,2-Propanediol		C	NG	NG
Amygdalin		C	NG	NG
Malonic Acid		C	NG	NG
D-Melibiose	melibiose	C	NG	NG
D-Gluconic Acid	D-gluconate	C	NG	NG
D.L-Octopamine		C	NG	NG
D-Aspartate		C	NG	NG
Gelatin		C	NG	NG
L-Aspartic Acid	L-aspartate	C	NG	G
L-Ornithine		C	NG	NG
Salicin		C	NG	NG
L-Arabinose	L-arabinose	C	G	NG
L-Histidine	L-histidine	C	NG	NG
D-Glucuronic Acid		C	NG	NG
L-Glucose		C	NG	NG
N-AcetylNeuraminic Acid		C	NG	NG
β-Methyl-D-Galactoside		C	NG	NG
Stachyose		C	NG	NG
Maltitol		C	NG	NG
Acetamide		C	NG	NG
I-Erythritol		C	NG	NG
Lactitol		C	NG	NG
N-Acetyl-D-Glucosaminitol		C	NG	NG
α-Methyl-D-Glucoside	methyl alpha-D-glucopyranoside	C	G	NG
D,L-Carnitine		C	NG	NG
D,L-α-Glycerol-Phosphate	glycerol 3-phosphate	C	NG	NG
Sedoheptulosan		C	NG	NG
β-Methyl-D-Xyloside		C	NG	NG
β-Cyclodextrin		C	NG	NG
L-Arginine	L-arginine	C	NG	G
α-Methyl-D-Mannoside		C	NG	NG
Gentiobiose		C	NG	NG
L-Fucose		C	NG	NG
L-T hreonine	L-threonine	C	NG	G
L-Phenylalanine	L-phenylalanine	C	NG	NG
Citric Acid	citrate	C	NG	G
α-Cyclodextrin		C	NG	NG
Citraconic Acid		C	NG	NG
L-Arabitol	L-arabinitol	C	NG	NG
D-Trehalose	trehalose	C	NG	G
γ-Cyclodextrin		C	NG	NG
L-Methionine	L-methionine	C	NG	NG
Inulin		C	G	NG
D-Fucose		C	NG	NG
D-Galactonic Acid-γ-Lactone		C	NG	NG
L-Homoserine	L-homoserine	C	NG	G
Oxalic Acid	Oxalate	C	NG	NG
Arbutin		C	NG	NG
Laminarin		C	G	NG
Caproic Acid	hexanoate	C	NG	NG
Phenylethyl-amine		C	NG	NG
Xylitol	xylitol	C	NG	G
m-Hydroxy Phenyl Acetic Acid		C	NG	NG
Sec-Butylamine		C	NG	NG
D-Glucosamine	D-Glucosamine	C	G	NG
Sebacic Acid		C	NG	NG
Mannan	mannan	C	NG	NG
Dihydroxy Acetone	glycerone	C	G	NG
2-Deoxy Adenosine	2'-deoxyadenosine	C	NG	NG
Adenosine	adenosine	C	NG	G
D-Alanine		C	NG	NG
D-Serine	D-Serine	C	NG	NG
2,3-Butanone H12	diacetyl	C	NG	NG
D-Threonine		C	NG	NG
Itaconic Acid	itaconate	C	NG	NG
2-Deoxy-D-Ribose	2-deoxy-D-ribose	C	G	NG
4-Hydroxy Benzoic Acid	4-hydroxybenzoate	C	NG	NG
Capric Acid	decanoate	C	NG	G
Sorbic Acid		C	G	NG
2-Hydroxy Benzoic Acid		C	NG	NG
Glycine	L-glycine	C	NG	G
Uric Acid		N	NG	NG
Ala-Gln	Ala-Gln	N	G	NG
Ala-Leu	Ala-Leu	N	G	NG
Ala-Gly	Ala-Gly	N	G	NG
Xanthine	9H-xanthine	N	NG	NG
D,L-Lactamide		N	NG	NG
Cytosine	cytosine	N	G	G
Gly-Gln	Gly-Gln	N	G	NG
