s_3575[gm],1ph1dmyin3ph11812181[gm]
s_3576[c],1ph1dmyin4ph11602161[c]
s_3578[c],1ph1dmyin4ph11802161[c]
s_3579[c],1ph1dmyin4ph11812161[c]
s_3580[c],1ph1dmyin4ph11602181[c]
s_3581[c],1ph1dmyin4ph11612181[c]
s_3582[c],1ph1dmyin4ph11802181[c]
s_3583[c],1ph1dmyin4ph11812181[c]
s_3584[erm],1ph1dmyin4ph11602161[erm]
s_3586[erm],1ph1dmyin4ph11802161[erm]
s_3587[erm],1ph1dmyin4ph11812161[erm]
s_3588[erm],1ph1dmyin4ph11602181[erm]
s_3589[erm],1ph1dmyin4ph11612181[erm]
s_3590[erm],1ph1dmyin4ph11802181[erm]
s_3591[erm],1ph1dmyin4ph11812181[erm]
s_3592[ce],1ph1dmyin35bi11602161[ce]
s_3593[ce],1ph1dmyin35bi11612161[ce]
s_3594[ce],1ph1dmyin35bi11802161[ce]
s_3595[ce],1ph1dmyin35bi11812161[ce]
s_3596[ce],1ph1dmyin35bi11602181[ce]
s_3597[ce],1ph1dmyin35bi11612181[ce]
s_3598[ce],1ph1dmyin35bi11802181[ce]
s_3599[ce],1ph1dmyin35bi11812181[ce]
s_3600[c],1ph1dmyin35bi11602161[c]
s_3601[c],1ph1dmyin35bi11612161[c]
s_3602[c],1ph1dmyin35bi11802161[c]
s_3603[c],1ph1dmyin35bi11812161[c]
s_3604[c],1ph1dmyin35bi11602181[c]
s_3605[c],1ph1dmyin35bi11612181[c]
s_3606[c],1ph1dmyin35bi11802181[c]
s_3607[c],1ph1dmyin35bi11812181[c]
s_3608[erm],1ph1dmyin45bi11602161[erm]
s_3609[erm],1ph1dmyin45bi11612161[erm]
s_3610[erm],1ph1dmyin45bi11802161[erm]
s_3611[erm],1ph1dmyin45bi11812161[erm]
s_3612[erm],1ph1dmyin45bi11602181[erm]
s_3613[erm],1ph1dmyin45bi11612181[erm]
s_3614[erm],1ph1dmyin45bi11802181[erm]
s_3615[erm],1ph1dmyin45bi11812181[erm]
s_3616[vm],12di3di11602161[vm]
s_3617[vm],12di3di11612161[vm]
s_3618[vm],12di3di11802161[vm]
s_3619[vm],12di3di11812161[vm]
s_3620[vm],12di3di11602181[vm]
s_3621[vm],12di3di11612181[vm]
s_3622[vm],12di3di11802181[vm]
s_3623[vm],12di3di11812181[vm]
s_3624[gm],12di3di11602161[gm]
s_3625[gm],12di3di11612161[gm]
s_3626[gm],12di3di11802161[gm]
s_3627[gm],12di3di11812161[gm]
s_3628[gm],12di3di11602181[gm]
s_3629[gm],12di3di11612181[gm]
s_3630[gm],12di3di11802181[gm]
s_3631[gm],12di3di11812181[gm]
s_3634[c],1acsngl3ph161[c]
s_3635[c],1mon161[c]
s_3638[c],1acsngl3ph181[c]
s_3642[vm],1acsngl3ph161[vm]
s_3643[vm],1mon161[vm]
s_3646[vm],1acsngl3ph181[vm]
s_3650[gm],1acsngl3ph161[gm]
s_3651[gm],1mon161[gm]
s_3654[gm],1acsngl3ph181[gm]
s_3656[lp],ergpal[lp]
s_3658[lp],ergole[lp]
s_3659[lp],epipal[lp]
s_3661[lp],epiole[lp]
s_3662[lp],fecpal[lp]
s_3663[lp],fecole[lp]
s_3664[lp],lanpal[lp]
s_3666[lp],lanole[lp]
s_3667[lp],zympal[lp]
s_3668[lp],zymole[lp]
s_3669[ce],zympal[ce]
s_3670[ce],zymole[ce]
s_3672[lp],1mon161[lp]
s_3675[m],dig11602181[m]
s_3678[m],dig11612181[m]
s_3679[m],1mon161[m]
s_3680[m],dig11802181[m]
s_3686[lp],phosp11602181[lp]
s_3688[lp],phosp11612181[lp]
s_3690[lp],phosp11802181[lp]
s_3692[lp],phosp11812181[lp]
s_3693[lp],phos11602161[lp]
s_3697[lp],phos11802161[lp]
s_3699[lp],phos11812161[lp]
s_3701[lp],phos11602181[lp]
s_3702[lp],phos11612181[lp]
s_3703[lp],phos11802181[lp]
s_3704[lp],phos11812181[lp]
s_3705[lp],phosp11602161[lp]
s_3707[lp],phosp11802161[lp]
s_3708[lp],phosp11812161[lp]
s_3709[erm],ergestbac[erm]
s_3717[c],prote[c]
s_3718[c],carb[c]
s_3719[c],rna[c]
s_3720[c],dna2[c]
s_3721[g],cerbac[g]
s_3722[c],cerbac[c]
s_3723[c],inophophobac[c]
s_3724[c],inopcerbac[c]
s_3725[c],manphobac[c]
s_3726[r],lonchabasbac[r]
s_3727[c],lonchabasbac[c]
s_3728[r],lonchabasphobac[r]
s_3729[c],lonchabasphobac[c]
s_3730[erm],phobac[erm]
s_3731[c],phobac[c]
s_3732[erm],digbac[erm]
s_3733[c],digbac[c]
s_3734[erm],sn2acy1lysbac[erm]
s_3735[c],sn2acy1lysbac[c]
s_3736[mm],phoback[mm]
s_3737[c],phoback[c]
s_3738[mm],carbac[mm]
s_3739[c],carbac[c]
s_3740[c],c160cha[c]
s_3741[c],c161cha[c]
s_3742[c],c180cha[c]
s_3743[c],c181cha[c]
s_3744[c],c240cha[c]
s_3745[c],c260cha[c]
s_3746[c],lipbac[c]
s_3747[c],lipcha[c]
s_3760[c],adpdrib1pho[c]
s_3762[c],qui[c]
s_3763[c],14ben[c]
s_3767[r],nnchi[r]
s_3768[c],drib5pho[c]
s_3771[r],g0017[r]
s_3773[r],g0001[r]
s_3774[r],g00011[r]
s_3784[m],sulcarh[m]
s_3786[m],sulcarsh[m]
s_3789[c],3chlalc[c]
s_3790[c],3chl[c]
s_3791[c],3hydbenalc[c]
s_3792[c],3hydben[c]
s_3795[c],4isoalc[c]
s_3796[c],pcumald[c]
s_3806[c],4hyd4met2oxoglu[c]
s_3807[c],lmetssoxi[c]
s_3816[c],cytcllys[c]
s_3817[c],cytcn6metllys[c]
s_3819[n],llyshis[n]
s_3821[n],n6metllyshis[n]
s_3828[c],sben[c]
s_3829[c],benz[c]
s_3830[r],rx[r]
s_3832[r],hx[r]
s_3833[r],rsglu[r]
s_3834[c],rx[c]
s_3835[c],hx[c]
s_3836[c],rsglu[c]
s_3841[c],thr3hydlasp[c]
s_3842[x],rx[x]
s_3844[x],hx[x]
s_3845[x],rsglu[x]
s_3851[c],cya[c]
s_3852[c],alddrib5pho[c]
s_3853[c],rscys[c]
s_3854[c],ssublcys[c]
s_3856[c],glytrnala[c]
s_3857[c],dtyrtrntyr[c]
s_3858[c],dtyr[c]
s_3863[m],3hyd2metcoa[m]
s_3865[e],ste[e]
s_3866[c],ste[c]
s_3869[c],monaciami[c]
s_3870[c],car[c]
s_3873[c],ben[c]
s_3876[c],proctersfarlcys[c]
s_3877[c],prctesfalcymees[c]
s_3879[r],g0014[r]
s_3884[c],prot[c]
s_3885[c],largpro[c]
s_3886[r],proasp[r]
s_3887[r],g00008[r]
s_3888[r],doldip[r]
s_3889[r],g00009[r]
s_3891[r],g106[r]
s_3893[r],g01[r]
s_3894[r],g00[r]
s_3895[r],g000[r]
s_3896[r],g0000[r]
s_3900[v],alpdmann[v]
s_3901[v],alpdman[v]
s_3902[v],nonglysugacc[v]
s_3903[c],lthr[c]
s_3909[c],suldon[c]
s_3910[c],adp5eth4met2car[c]
s_3911[r],dolbetdglupho[r]
s_3912[r],g10599[r]
s_3917[c],apo[c]
s_3918[c],pron6liplys[c]
s_3923[c],n4oxoglulcys[c]
s_3924[m],n4oxoglulcys[m]
s_3927[c],rib5tri[c]
s_3928[c],rib5pho[c]
s_3929[c],2deo5tri[c]
s_3930[c],2deo5pho[c]
s_3932[r],g00012[r]
s_3934[c],eth[c]
s_3940[c],pepdiph[c]
s_3941[c],pepdip[c]
s_3942[x],8oxodgt[x]
s_3943[x],8oxodgm[x]
s_3944[m],apo[m]
s_3945[m],pron6octlys[m]
s_3947[m],pron6liplys[m]
s_3951[c],Glc_aD[c]
s_3959[c],2pro[c]
s_3960[c],pro[c]
s_3975[c],tra3chlald[c]
s_3976[c],tra3chlaci[c]
s_3977[c],cis3chlald[c]
s_3978[c],cis3chlaci[c]
s_3979[c],chl[c]
s_3980[c],chlaci[c]
s_3983[c],2tra6trafar[c]
s_3984[c],faraci[c]
s_3985[erm],pho[erm]
s_3986[gm],pho[gm]
s_3988[c],1olesngly[c]
s_3989[r],g10[r]
s_3990[r],g00006[r]
s_3993[r],g105[r]
s_3994[r],g1059[r]
s_3995[r],g10597[r]
s_3996[r],g00007[r]
s_4001[r],g10598[r]
s_4002[r],g00149[r]
s_4003[r],g001[r]
s_4004[m],suldon[m]
s_4006[m],ssullcysdes[m]
s_4007[m],disfor[m]
s_4008[m],ssucydedifoscprco[m]
s_4018[c],pol[c]
s_4022[m],por[m]
s_4023[c],por[c]
s_4024[c],sta[c]
s_4028[m],rx[m]
s_4029[m],hx[m]
s_4030[m],rsglu[m]
s_4033[c],pron6acellys[c]
s_4044[c],thy3mon[c]
s_4045[e],thy3mon[e]
s_4046[c],thy5mon[c]
s_4047[e],thy5mon[e]
s_4066[c],gua2mon[c]
s_4067[e],gua2mon[e]
s_4072[c],cysspho[c]
s_4075[e],cysspho[e]
s_4076[c],hyp[c]
s_4081[c],uri2pho[c]
s_4082[e],uri2pho[e]
s_4088[c],npho[c]
s_4090[e],npho[e]
s_4100[c],cyt2pho[c]
s_4101[e],cyt2pho[e]
s_4131[e],tur[e]
s_4136[c],3oxa3[c]
s_4137[e],3oxa3[e]
s_4187[c],2aceaci[c]
s_4205[c],cof[c]
s_4206[c],ion[c]
