s_2913[x],r3hycite5enco[x]
s_2920[x],3oxocishex9enocoa[x]
s_2921[x],3oxocistet7enocoa[x]
s_2922[x],3oxocisdod5enocoa[x]
s_2923[x],3oxocisoct9enocoa[x]
s_2924[x],3oxocishex7enocoa[x]
s_2925[x],3oxocistet5enocoa[x]
s_2926[x],cisdec3enocoa[x]
s_2927[x],cisdod3enocoa[x]
s_2928[x],tra3cis5dodcoa[x]
s_2930[x],tra3cis5tetcoa[x]
s_2931[x],tratet3enocoa[x]
s_2932[x],tra2tra4dodcoa[x]
s_2933[x],tra2tra4tetcoa[x]
s_2936[erm],1acsngl3ph161[erm]
s_2938[erm],1acsngl3ph181[erm]
s_2940[erm],acypho160[erm]
s_2941[erm],acypho161[erm]
s_2942[erm],acypho180[erm]
s_2943[erm],acypho181[erm]
s_2945[lp],1acsngl3ph161[lp]
s_2947[lp],1acsngl3ph181[lp]
s_2948[lp],acypho160[lp]
s_2949[lp],acypho161[lp]
s_2950[lp],acypho180[lp]
s_2951[lp],acypho181[lp]
s_2954[erm],pho11602161[erm]
s_2955[erm],pho11602181[erm]
s_2957[erm],pho11612181[erm]
s_2958[erm],pho11802161[erm]
s_2959[erm],pho11802181[erm]
s_2960[erm],pho11812161[erm]
s_2961[erm],pho11812181[erm]
s_2962[lp],pho11602181[lp]
s_2963[lp],pho11612181[lp]
s_2964[lp],pho11802181[lp]
s_2965[lp],pho11812181[lp]
s_2967[erm],dig11602161[erm]
s_2968[erm],dig11602181[erm]
s_2970[erm],dig11612181[erm]
s_2971[erm],dig11802161[erm]
s_2972[erm],dig11802181[erm]
s_2973[erm],dig11812161[erm]
s_2975[vm],pho11602161[vm]
s_2978[vm],dig11602161[vm]
s_2979[vm],pho11602181[vm]
s_2980[vm],dig11602181[vm]
s_2983[vm],pho11612181[vm]
s_2984[vm],dig11612181[vm]
s_2985[vm],pho11802161[vm]
s_2986[vm],dig11802161[vm]
s_2987[vm],pho11802181[vm]
s_2988[vm],dig11802181[vm]
s_2989[vm],pho11812161[vm]
s_2990[vm],dig11812161[vm]
s_2991[vm],pho11812181[vm]
s_2993[gm],pho11602161[gm]
s_2996[gm],dig11602161[gm]
s_2997[gm],pho11602181[gm]
s_2998[gm],dig11602181[gm]
s_3001[gm],pho11612181[gm]
s_3002[gm],dig11612181[gm]
s_3003[gm],pho11802161[gm]
s_3004[gm],dig11802161[gm]
s_3005[gm],pho11802181[gm]
s_3006[gm],dig11802181[gm]
s_3007[gm],pho11812161[gm]
s_3008[gm],dig11812161[gm]
s_3009[gm],pho11812181[gm]
s_3011[erm],tr116021613160[erm]
s_3012[erm],tr116021813160[erm]
s_3014[erm],tr116121813160[erm]
s_3015[erm],tr118021613160[erm]
s_3016[erm],tr118021813160[erm]
s_3017[erm],tr118121613160[erm]
s_3018[erm],tr118121813160[erm]
s_3019[erm],tr116021613161[erm]
s_3020[erm],tr116021813161[erm]
s_3022[erm],tr116121813161[erm]
s_3023[erm],tr118021613161[erm]
s_3024[erm],tr118021813161[erm]
s_3026[erm],tr118121813161[erm]
s_3027[erm],tr116021613180[erm]
s_3028[erm],tr116021813180[erm]
s_3029[erm],tr116121613180[erm]
s_3030[erm],tr116121813180[erm]
s_3031[erm],tr118021613180[erm]
s_3032[erm],tr118021813180[erm]
s_3033[erm],tr118121613180[erm]
s_3034[erm],tr118121813180[erm]
s_3035[erm],tr116021613181[erm]
s_3036[erm],tr116021813181[erm]
s_3038[erm],tr116121813181[erm]
s_3039[erm],tr118021613181[erm]
s_3040[erm],tr118021813181[erm]
s_3042[erm],tr118121813181[erm]
s_3043[lp],dig11602161[lp]
s_3044[lp],tr116021613160[lp]
s_3045[lp],dig11602181[lp]
s_3046[lp],tr116021813160[lp]
s_3049[lp],dig11612181[lp]
s_3050[lp],tr116121813160[lp]
s_3051[lp],dig11802161[lp]
s_3052[lp],tr118021613160[lp]
s_3053[lp],dig11802181[lp]
s_3054[lp],tr118021813160[lp]
s_3055[lp],dig11812161[lp]
s_3056[lp],tr118121613160[lp]
s_3058[lp],tr118121813160[lp]
s_3059[lp],tr116021613161[lp]
s_3060[lp],tr116021813161[lp]
s_3062[lp],tr116121813161[lp]
s_3063[lp],tr118021613161[lp]
s_3064[lp],tr118021813161[lp]
s_3066[lp],tr118121813161[lp]
s_3067[lp],tr116021613180[lp]
s_3068[lp],tr116021813180[lp]
s_3069[lp],tr116121613180[lp]
s_3070[lp],tr116121813180[lp]
s_3071[lp],tr118021613180[lp]
s_3072[lp],tr118021813180[lp]
s_3073[lp],tr118121613180[lp]
s_3074[lp],tr118121813180[lp]
s_3075[lp],tr116021613181[lp]
s_3076[lp],tr116021813181[lp]
s_3078[lp],tr116121813181[lp]
s_3079[lp],tr118021613181[lp]
s_3080[lp],tr118021813181[lp]
s_3082[lp],tr118121813181[lp]
s_3084[erm],cddi11602161[erm]
s_3085[erm],cddi11612161[erm]
s_3086[erm],cddi11802161[erm]
s_3087[erm],cddi11812161[erm]
s_3088[erm],cddi11602181[erm]
s_3089[erm],cddi11612181[erm]
s_3090[erm],cddi11802181[erm]
s_3091[erm],cddi11812181[erm]
s_3092[mm],pho11602161[mm]
s_3096[mm],cddi11602161[mm]
s_3098[mm],cddi11612161[mm]
s_3099[mm],pho11802161[mm]
s_3100[mm],cddi11802161[mm]
s_3101[mm],pho11812161[mm]
s_3102[mm],cddi11812161[mm]
s_3103[mm],pho11602181[mm]
s_3104[mm],cddi11602181[mm]
s_3105[mm],pho11612181[mm]
s_3106[mm],cddi11612181[mm]
s_3109[erm],phlse11602161[erm]
s_3110[erm],phlse11612161[erm]
s_3111[erm],phlse11802161[erm]
s_3112[erm],phlse11812161[erm]
s_3113[erm],phlse11602181[erm]
s_3114[erm],phlse11612181[erm]
s_3115[erm],phlse11802181[erm]
s_3116[erm],phlse11812181[erm]
s_3118[erm],1ph1dmyin11602161[erm]
s_3120[erm],1ph1dmyin11802161[erm]
s_3121[erm],1ph1dmyin11812161[erm]
s_3122[erm],1ph1dmyin11602181[erm]
s_3123[erm],1ph1dmyin11612181[erm]
s_3124[erm],1ph1dmyin11802181[erm]
s_3125[erm],1ph1dmyin11812181[erm]
s_3126[erm],sn2acy1lys161[erm]
s_3127[erm],sn2acy1lys181[erm]
s_3128[mm],phlse11602161[mm]
s_3130[mm],phosp11602161[mm]
s_3131[mm],phlse11612161[mm]
s_3133[mm],phlse11802161[mm]
s_3134[mm],phosp11802161[mm]
s_3135[mm],phlse11812161[mm]
s_3136[mm],phosp11812161[mm]
s_3137[mm],phlse11602181[mm]
s_3138[mm],phosp11602181[mm]
s_3139[mm],phlse11612181[mm]
