s_0296[c],4mzym[c]
s_0297[c],4bemet4alcaraci[c]
s_0298[c],aps[c]
s_0299[c],25aics[c]
s_0300[c],air[c]
s_0301[c],fgam[c]
s_0302[c],fpram[c]
s_0303[c],5mta[c]
s_0304[c],methf[c]
s_0305[m],methf[m]
s_0306[c],mlthf[c]
s_0307[m],mlthf[m]
s_0308[c],thfglu[c]
s_0309[c],56bidi1dmyinte[c]
s_0310[c],4mhetz[c]
s_0311[c],dkmpp[c]
s_0312[c],prlp[c]
s_0313[c],5aprbu[c]
s_0314[c],4r5au[c]
s_0315[c],5aop[c]
s_0316[e],5aop[e]
s_0317[m],5aop[m]
s_0318[c],ppmi12346p[c]
s_0319[c],5fthf[c]
s_0320[e],5fthf[e]
s_0321[m],5fthf[m]
s_0322[c],5mthf[c]
s_0323[c],mhpglu[c]
s_0324[c],3psme[c]
s_0325[c],gar[c]
s_0326[c],prbatp[c]
s_0327[c],pram[c]
s_0328[c],dmlz[c]
s_0329[r],gpail_hs[r]
s_0330[r],6aldgloac1ph1dmyin[r]
s_0331[r],acgpail_hs[r]
s_0332[r],aamaamaamagapmi[r]
s_0333[c],6dip1dmyoinopen[c]
s_0334[r],almaalglacphmyin[r]
s_0335[c],6pgl[c]
s_0337[r],amphalmaalglacphmyin[r]
s_0338[r],almaalmaamphalmaalglacphmyin[r]
s_0339[r],almaamphalmaalglacphmyin[r]
s_0340[c],6pgc[c]
s_0341[c],dann[c]
s_0342[e],dann[e]
s_0343[c],dhnpt[c]
s_0344[m],dhnpt[m]
s_0345[c],dhpmp[c]
s_0346[c],ahdt[c]
s_0347[c],dhpt[c]
s_0348[m],dhpt[m]
s_0349[c],2dda7p[c]
s_0350[m],2dda7p[m]
s_0352[c],8aonn[c]
s_0354[e],8aonn[e]
s_0357[c],xan[c]
s_0358[e],xan[e]
s_0359[c],acald[c]
s_0360[e],acald[e]
s_0361[m],acald[m]
s_0362[c],ac[c]
s_0363[r],ac[r]
s_0364[e],ac[e]
s_0365[m],ac[m]
s_0366[n],ac[n]
s_0367[c],aacoa[c]
s_0370[m],aacoa[m]
s_0372[m],acACP[m]
s_0373[c],accoa[c]
s_0376[m],accoa[m]
s_0377[n],accoa[n]
s_0378[x],accoa[x]
s_0383[c],ade[c]
s_0384[e],ade[e]
s_0385[m],ade[m]
s_0386[c],adn[c]
s_0387[e],adn[e]
s_0389[c],amp2p[c]
s_0390[c],pap[c]
s_0391[e],pap[e]
s_0392[m],pap[m]
s_0393[c],dcamp[c]
s_0394[c],adp[c]
s_0395[r],adp[r]
s_0397[m],adp[m]
s_0398[n],adp[n]
s_0399[x],adp[x]
s_0402[n],adprib[n]
s_0403[c],aicar[c]
s_0404[c],alatrna[c]
s_0405[c],alltt[c]
s_0406[e],alltt[e]
s_0407[c],alltn[c]
s_0408[e],alltn[e]
s_0409[c],tre6p[c]
s_0410[c],gal1p[c]
s_0411[c],gam1p[c]
s_0412[c],gam6p[c]
s_0413[e],gam6p[e]
s_0414[g],alpdmanbetdman[g]
s_0415[c],r1p[c]
s_0416[m],r1p[m]
s_0417[c],aacald[c]
s_0418[c],aact[c]
s_0419[c],nh4[c]
s_0420[e],nh4[e]
s_0421[m],nh4[m]
s_0423[c],amp[c]
s_0424[m],amp[m]
s_0425[n],amp[n]
s_0426[x],amp[x]
s_0427[c],anth[c]
s_0428[c],argtrna[c]
s_0429[m],argtrna[m]
s_0430[c],asntrna[c]
s_0431[m],asntrna[m]
s_0432[c],asptrna[c]
s_0433[m],asptrna[m]
s_0434[c],atp[c]
s_0435[r],atp[r]
s_0437[m],atp[m]
s_0438[n],atp[n]
s_0439[x],atp[x]
s_0441[c],ala_B[c]
s_0442[c],f26bp[c]
s_0443[c],mpdol[c]
s_0444[g],mpdol[g]
s_0445[c],hco3[c]
s_0446[e],hco3[e]
s_0447[m],hco3[m]
s_0448[n],hco3[n]
s_0450[c],bio[c]
s_0451[c],btn[c]
s_0452[e],btn[e]
s_0453[c],btamp[c]
s_0454[m],b124tc[m]
s_0455[c],cbp[c]
s_0456[c],co2[c]
s_0457[r],co2[r]
s_0458[e],co2[e]
s_0460[m],co2[m]
s_0461[n],co2[n]
s_0462[x],co2[x]
s_0465[m],malACP[m]
s_0467[c],cdp[c]
s_0468[n],cdp[n]
s_0469[c],cdpchol[c]
s_0474[c],cdpea[c]
s_0475[r],cer1_24[r]
s_0476[g],cer1_24[g]
s_0477[m],cer1_24[m]
s_0478[r],cer1_26[r]
s_0479[g],cer1_26[g]
s_0480[m],cer1_26[m]
s_0481[r],cer2_24[r]
s_0482[g],cer2_24[g]
s_0483[m],cer2_24[m]
s_0484[r],cer2_26[r]
s_0485[g],cer2_26[g]
s_0486[m],cer2_26[m]
s_0487[r],cer2c24[r]
s_0488[g],cer2c24[g]
s_0489[m],cer2c24[m]
s_0490[r],cer2c26[r]
s_0491[g],cer2c26[g]
s_0492[m],cer2c26[m]
s_0493[r],cer3_24[r]
s_0494[g],cer3_24[g]
s_0495[m],cer3_24[m]
s_0496[r],cer3_26[r]
s_0497[g],cer3_26[g]
s_0498[m],cer3_26[m]
s_0499[r],cer4c24[r]
s_0500[g],cer4c24[g]
s_0501[m],cer4c24[m]
s_0502[r],cer4c26[r]
s_0503[g],cer4c26[g]
s_0504[m],cer4c26[m]
s_0507[r],hexc[r]
s_0509[c],chtn[c]
s_0510[ce],chitos[ce]
s_0511[ce],chol[ce]
s_0512[c],chol[c]
s_0513[e],chol[e]
s_0514[c],cholp[c]
s_0515[c],chor[c]
s_0516[c],acon_C[c]
s_0517[m],acon_C[m]
s_0522[c],cit[c]
s_0523[e],cit[e]
s_0524[m],cit[m]
s_0525[x],cit[x]
s_0526[c],cmp[c]
s_0528[m],cmp[m]
s_0529[c],coa[c]
s_0530[r],coa[r]
s_0531[lp],coa[lp]
